Date,Produit,Région,Quantité,Prix,Catégorie,Revenue
2024-03-22,Laptop,West,1,845.21,Electronics,845.21
2024-08-03,Laptop,West,8,146.37,Electronics,1170.96
2023-09-04,Laptop,East,7,1161.45,Electronics,8130.150000000001
2023-03-17,Headphones,West,2,896.38,Accessories,1792.76
2023-06-03,Headphones,North,8,1183.84,Accessories,9470.72
2024-10-17,Tablet,North,5,1140.03,Electronics,5700.15
2024-03-10,Phone,East,7,1214.35,Electronics,8500.449999999999
2023-03-27,Monitor,West,4,801.11,Electronics,3204.44
2024-11-27,Monitor,West,5,253.47,Electronics,1267.35
2023-10-12,Monitor,North,8,1023.18,Electronics,8185.44
2023-08-08,Tablet,West,1,949.69,Electronics,949.69
2023-03-10,Headphones,West,1,1126.27,Accessories,1126.27
2023-02-16,Tablet,West,4,296.33,Electronics,1185.32
2023-04-04,Monitor,South,3,332.71,Electronics,998.1299999999999
2024-03-28,Phone,East,2,1341.09,Electronics,2682.18
2023-07-23,Laptop,South,3,1137.47,Electronics,3412.41
2023-08-06,Headphones,East,1,1366.93,Accessories,1366.93
2024-04-18,Headphones,North,1,1150.14,Accessories,1150.14
2024-03-07,Tablet,West,6,915.88,Electronics,5495.28
2023-12-07,Headphones,East,5,998.49,Accessories,4992.45
2024-07-04,Monitor,South,8,1339.24,Electronics,10713.92
2024-09-03,Monitor,West,2,889.27,Electronics,1778.54
2023-10-16,Tablet,North,4,966.97,Electronics,3867.88
2023-09-11,Monitor,East,8,276.89,Electronics,2215.12
2023-12-23,Phone,East,6,737.19,Electronics,4423.14
2023-01-23,Tablet,East,1,1088.78,Electronics,1088.78
2024-06-05,Phone,West,4,442.87,Electronics,1771.48
2023-04-10,Laptop,South,1,343.27,Electronics,343.27
2023-06-29,Phone,South,2,505.05,Electronics,1010.1
2023-08-11,Laptop,East,5,400.18,Electronics,2000.9
2024-10-20,Laptop,North,8,361.62,Electronics,2892.96
2024-03-17,Phone,North,8,666.03,Electronics,5328.24
2024-08-30,Tablet,South,3,1366.37,Electronics,4099.11
2023-11-21,Monitor,North,4,785.24,Electronics,3140.96
2024-05-30,Monitor,South,6,322.48,Electronics,1934.88
2023-01-16,Laptop,East,3,161.61,Electronics,484.83000000000004
2023-12-02,Laptop,South,2,1059.43,Electronics,2118.86
2023-09-15,Tablet,South,6,605.06,Electronics,3630.3599999999997
2024-05-11,Headphones,East,5,1241.65,Accessories,6208.25
2023-06-09,Phone,North,5,1006.29,Electronics,5031.45
2024-04-19,Laptop,South,5,1204.55,Electronics,6022.75
2024-10-25,Monitor,South,5,444.32,Electronics,2221.6
2024-11-20,Tablet,East,3,1053.92,Electronics,3161.76
2024-11-05,Phone,North,7,432.89,Electronics,3030.23
2024-01-15,Tablet,South,6,1411.65,Electronics,8469.900000000001
2024-06-28,Phone,East,4,972.74,Electronics,3890.96
2024-11-21,Phone,South,2,520.54,Electronics,1041.08
2024-03-02,Laptop,West,9,440.79,Electronics,3967.11
2024-09-04,Tablet,East,1,326.84,Electronics,326.84
2023-09-25,Tablet,North,4,1057.23,Electronics,4228.92
2024-07-30,Monitor,North,1,367.14,Electronics,367.14
2024-02-21,Monitor,North,6,913.19,Electronics,5479.14
2023-06-17,Laptop,North,4,433.72,Electronics,1734.88
2023-02-12,Laptop,South,5,1009.85,Electronics,5049.25
2024-07-09,Headphones,South,5,1231.66,Accessories,6158.3
2023-10-12,Monitor,North,9,1178.14,Electronics,10603.26
2024-02-01,Phone,North,1,1153.23,Electronics,1153.23
2023-01-12,Tablet,North,2,322.2,Electronics,644.4
2024-08-29,Laptop,South,6,178.16,Electronics,1068.96
2023-10-29,Tablet,North,5,1063.48,Electronics,5317.4
2023-09-10,Tablet,North,7,584.1,Electronics,4088.7000000000003
2024-05-13,Headphones,West,3,676.9,Accessories,2030.6999999999998
2023-02-04,Monitor,West,3,95.17,Electronics,285.51
2024-12-27,Laptop,North,2,426.39,Electronics,852.78
2023-03-31,Tablet,East,3,98.83,Electronics,296.49
2024-08-27,Laptop,North,1,1324.82,Electronics,1324.82
2024-08-24,Phone,West,5,402.93,Electronics,2014.65
2024-02-22,Headphones,East,5,858.14,Accessories,4290.7
2023-04-25,Phone,East,7,106.52,Electronics,745.64
2024-09-08,Laptop,North,4,1016.93,Electronics,4067.72
2023-07-15,Laptop,West,3,518.39,Electronics,1555.17
2024-05-15,Monitor,West,1,1351.98,Electronics,1351.98
2024-09-17,Tablet,East,8,1337.77,Electronics,10702.16
2024-05-07,Tablet,North,3,521.67,Electronics,1565.0099999999998
2023-03-16,Phone,South,2,1356.39,Electronics,2712.78
2024-02-17,Headphones,South,4,1494.43,Accessories,5977.72
2024-01-11,Tablet,West,3,1246.85,Electronics,3740.5499999999997
2024-02-24,Monitor,South,1,1275.06,Electronics,1275.06
2024-12-29,Phone,West,3,411.06,Electronics,1233.18
2023-10-04,Phone,West,2,886.22,Electronics,1772.44
2024-11-06,Monitor,West,8,147.52,Electronics,1180.16
2024-01-29,Headphones,South,6,187.63,Accessories,1125.78
2024-04-01,Monitor,West,9,1498.39,Electronics,13485.51
2023-07-11,Headphones,East,8,523.63,Accessories,4189.04
2024-11-19,Monitor,North,3,1134.87,Electronics,3404.6099999999997
2023-04-09,Monitor,North,5,1219.66,Electronics,6098.3
2024-07-01,Laptop,West,7,1294.13,Electronics,9058.91
2023-04-06,Phone,North,5,1496.56,Electronics,7482.799999999999
2024-10-25,Monitor,South,8,400.17,Electronics,3201.36
2024-10-24,Monitor,South,5,108.51,Electronics,542.5500000000001
2023-07-09,Tablet,North,1,646.23,Electronics,646.23
2023-02-06,Phone,South,5,238.62,Electronics,1193.1
2024-01-04,Tablet,North,4,82.52,Electronics,330.08
2024-11-25,Phone,North,6,572.62,Electronics,3435.7200000000003
2024-06-08,Tablet,North,3,1186.42,Electronics,3559.26
2023-10-06,Monitor,West,5,870.96,Electronics,4354.8
2023-08-05,Monitor,North,2,503.53,Electronics,1007.06
2023-09-30,Laptop,West,6,998.8,Electronics,5992.799999999999
2023-03-03,Tablet,North,6,386.43,Electronics,2318.58
2024-08-18,Headphones,North,5,70.85,Accessories,354.25
2024-12-29,Laptop,North,6,1158.31,Electronics,6949.86
2023-12-08,Tablet,South,7,954.43,Electronics,6681.009999999999
2024-02-01,Tablet,West,5,1155.34,Electronics,5776.7
2024-11-29,Laptop,West,1,106.46,Electronics,106.46
2023-01-19,Monitor,North,8,1263.82,Electronics,10110.56
2023-06-26,Tablet,North,4,948.31,Electronics,3793.24
2024-09-03,Monitor,South,9,866.92,Electronics,7802.28
2024-01-31,Laptop,South,6,955.69,Electronics,5734.14
2024-03-20,Monitor,South,1,1303.43,Electronics,1303.43
2023-08-21,Phone,West,3,901.06,Electronics,2703.18
2023-03-17,Headphones,West,3,892.38,Accessories,2677.14
2023-09-22,Tablet,West,4,1486.48,Electronics,5945.92
2024-03-30,Headphones,North,6,1147.26,Accessories,6883.5599999999995
2024-12-18,Monitor,West,7,691.33,Electronics,4839.31
2024-01-19,Tablet,East,4,1075.73,Electronics,4302.92
2024-07-17,Monitor,East,6,614.38,Electronics,3686.2799999999997
2024-05-20,Phone,South,1,381.87,Electronics,381.87
2024-01-02,Laptop,West,8,915.44,Electronics,7323.52
2023-05-24,Tablet,East,7,1395.86,Electronics,9771.019999999999
2023-03-10,Phone,South,9,1397.25,Electronics,12575.25
2023-04-09,Phone,West,3,545.76,Electronics,1637.28
2024-01-31,Tablet,North,2,815.13,Electronics,1630.26
2023-01-25,Monitor,East,1,356.87,Electronics,356.87
2024-04-13,Phone,North,3,1493.67,Electronics,4481.01
2024-04-28,Headphones,West,5,1472.62,Accessories,7363.099999999999
2024-07-18,Phone,East,2,991.79,Electronics,1983.58
2023-05-31,Monitor,West,3,1216.4,Electronics,3649.2000000000003
2023-05-24,Monitor,North,4,1086.9,Electronics,4347.6
2024-07-22,Headphones,East,7,910.08,Accessories,6370.56
2023-02-08,Phone,North,3,127.35,Electronics,382.04999999999995
2023-04-19,Monitor,West,9,709.41,Electronics,6384.69
2024-11-23,Tablet,West,8,1028.44,Electronics,8227.52
2023-02-11,Laptop,North,4,1032.42,Electronics,4129.68
2023-07-05,Laptop,East,1,591.03,Electronics,591.03
2024-02-02,Laptop,North,1,1415.45,Electronics,1415.45
2023-08-11,Phone,West,1,292.67,Electronics,292.67
2024-09-25,Headphones,North,1,775.52,Accessories,775.52
2023-05-13,Monitor,West,8,1051.78,Electronics,8414.24
2023-06-12,Tablet,North,3,1060.85,Electronics,3182.5499999999997
2023-08-03,Tablet,East,6,990.53,Electronics,5943.18
2023-08-23,Phone,East,3,449.17,Electronics,1347.51
2024-10-19,Laptop,North,5,276.5,Electronics,1382.5
2024-08-10,Phone,North,7,972.11,Electronics,6804.77
2023-01-09,Headphones,East,2,918.99,Accessories,1837.98
2023-03-15,Headphones,West,6,310.07,Accessories,1860.42
2024-05-06,Monitor,East,6,1072.45,Electronics,6434.700000000001
2023-09-10,Monitor,West,3,710.0,Electronics,2130.0
2023-08-18,Headphones,North,6,1018.25,Accessories,6109.5
2024-06-02,Headphones,North,5,1264.18,Accessories,6320.900000000001
2023-06-23,Headphones,West,2,296.11,Accessories,592.22
2024-10-14,Phone,North,9,77.76,Electronics,699.84
2023-06-17,Headphones,West,8,1179.7,Accessories,9437.6
2023-06-19,Tablet,South,3,934.06,Electronics,2802.18
2024-01-28,Laptop,East,8,1064.48,Electronics,8515.84
2024-09-25,Headphones,South,9,1265.32,Accessories,11387.88
2023-07-13,Laptop,West,3,1214.08,Electronics,3642.24
2024-05-31,Phone,East,3,1443.33,Electronics,4329.99
2023-01-29,Laptop,West,2,827.11,Electronics,1654.22
2023-06-14,Phone,East,8,758.32,Electronics,6066.56
2024-02-26,Tablet,East,1,632.74,Electronics,632.74
2023-12-05,Phone,East,8,272.85,Electronics,2182.8
2024-10-09,Phone,East,7,880.28,Electronics,6161.96
2024-05-10,Monitor,West,7,451.67,Electronics,3161.69
2023-12-31,Headphones,East,3,1385.9,Accessories,4157.700000000001
2023-12-08,Headphones,East,1,895.63,Accessories,895.63
2024-05-14,Tablet,South,4,909.62,Electronics,3638.48
2024-10-18,Tablet,North,9,564.64,Electronics,5081.76
2024-05-25,Headphones,North,5,125.38,Accessories,626.9
2023-11-23,Monitor,South,1,96.03,Electronics,96.03
2023-08-05,Headphones,South,5,663.84,Accessories,3319.2000000000003
2023-10-28,Monitor,West,8,172.62,Electronics,1380.96
2023-05-12,Tablet,West,8,929.93,Electronics,7439.44
2023-03-11,Laptop,West,5,1327.41,Electronics,6637.05
2023-09-09,Tablet,South,9,1330.23,Electronics,11972.07
2024-02-19,Tablet,South,1,1005.62,Electronics,1005.62
2024-03-20,Phone,East,4,356.29,Electronics,1425.16
2023-07-01,Phone,West,3,1301.35,Electronics,3904.0499999999997
2023-06-16,Phone,West,2,1334.84,Electronics,2669.68
2023-04-01,Phone,West,8,335.15,Electronics,2681.2
2024-12-14,Monitor,North,7,1119.27,Electronics,7834.889999999999
2024-06-14,Headphones,East,9,465.45,Accessories,4189.05
2023-02-08,Laptop,West,2,1213.83,Electronics,2427.66
2023-05-06,Tablet,West,4,1495.99,Electronics,5983.96
2024-03-26,Monitor,West,6,93.54,Electronics,561.24
2023-06-22,Laptop,North,3,1351.18,Electronics,4053.54
2024-10-14,Monitor,North,8,952.81,Electronics,7622.48
2023-08-08,Monitor,South,3,1461.4,Electronics,4384.200000000001
2024-09-29,Tablet,East,2,724.26,Electronics,1448.52
2023-02-27,Headphones,South,3,1278.71,Accessories,3836.13
2024-10-21,Phone,East,6,140.47,Electronics,842.8199999999999
2024-04-20,Headphones,North,2,536.15,Accessories,1072.3
2024-03-31,Tablet,West,8,147.17,Electronics,1177.36
2023-12-27,Tablet,South,1,1464.25,Electronics,1464.25
2023-01-01,Tablet,West,7,1234.61,Electronics,8642.269999999999
2024-01-22,Laptop,South,2,1286.19,Electronics,2572.38
2023-12-14,Headphones,North,6,1410.05,Accessories,8460.3
2023-07-09,Headphones,North,2,173.4,Accessories,346.8
2024-05-19,Monitor,North,2,609.12,Electronics,1218.24
2023-07-10,Monitor,South,8,153.0,Electronics,1224.0
2024-05-22,Monitor,East,2,355.65,Electronics,711.3
2024-01-04,Tablet,South,7,382.58,Electronics,2678.06
2024-02-13,Headphones,East,3,730.21,Accessories,2190.63
2023-04-27,Tablet,South,8,439.42,Electronics,3515.36
2023-05-14,Laptop,South,7,196.42,Electronics,1374.9399999999998
2023-02-27,Monitor,North,8,292.86,Electronics,2342.88
2024-07-09,Tablet,West,7,263.55,Electronics,1844.8500000000001
2024-11-15,Tablet,West,6,1460.96,Electronics,8765.76
2024-11-02,Laptop,East,7,1150.97,Electronics,8056.79
2023-06-22,Phone,West,5,1453.25,Electronics,7266.25
2023-05-29,Headphones,South,7,687.62,Accessories,4813.34
2023-03-21,Phone,South,1,453.63,Electronics,453.63
2023-08-01,Monitor,North,1,1207.53,Electronics,1207.53
2023-07-22,Tablet,North,9,523.07,Electronics,4707.63
2023-08-17,Laptop,West,5,484.11,Electronics,2420.55
2024-11-06,Laptop,East,5,387.13,Electronics,1935.65
2023-08-15,Headphones,West,3,238.03,Accessories,714.09
2024-10-20,Phone,West,5,421.87,Electronics,2109.35
2024-06-15,Headphones,West,3,565.21,Accessories,1695.63
2024-03-16,Tablet,West,9,1027.29,Electronics,9245.61
2024-02-06,Headphones,South,9,140.72,Accessories,1266.48
2023-02-16,Laptop,East,6,355.24,Electronics,2131.44
2023-08-21,Laptop,South,1,1223.08,Electronics,1223.08
2023-11-01,Monitor,East,7,263.04,Electronics,1841.2800000000002
2024-06-09,Monitor,North,7,546.84,Electronics,3827.88
2023-05-23,Tablet,West,4,1303.76,Electronics,5215.04
2024-02-19,Phone,South,8,274.64,Electronics,2197.12
2024-05-27,Headphones,East,6,169.97,Accessories,1019.8199999999999
2024-01-08,Tablet,North,4,752.58,Electronics,3010.32
2024-07-19,Monitor,North,4,488.51,Electronics,1954.04
2023-09-16,Headphones,West,2,866.94,Accessories,1733.88
2024-10-17,Monitor,East,2,1215.52,Electronics,2431.04
2024-04-15,Headphones,South,4,248.87,Accessories,995.48
2023-01-12,Phone,West,5,892.01,Electronics,4460.05
2023-11-26,Tablet,South,8,782.99,Electronics,6263.92
2023-12-24,Headphones,North,6,258.91,Accessories,1553.46
2024-02-12,Laptop,South,4,954.8,Electronics,3819.2
2024-10-29,Laptop,South,7,446.78,Electronics,3127.46
2024-01-08,Headphones,West,8,757.36,Accessories,6058.88
2023-01-08,Headphones,South,2,169.29,Accessories,338.58
2023-05-02,Headphones,West,7,716.4,Accessories,5014.8
2023-12-14,Laptop,North,2,494.37,Electronics,988.74
2024-11-06,Laptop,West,2,1242.45,Electronics,2484.9
2023-03-31,Headphones,West,8,132.62,Accessories,1060.96
2024-10-09,Monitor,East,2,656.98,Electronics,1313.96
2024-11-28,Monitor,South,9,714.73,Electronics,6432.57
2023-11-12,Phone,North,1,1101.26,Electronics,1101.26
2023-06-27,Tablet,West,9,882.72,Electronics,7944.4800000000005
2024-06-23,Monitor,North,1,1017.46,Electronics,1017.46
2023-02-10,Laptop,East,2,1176.72,Electronics,2353.44
2024-12-04,Monitor,South,6,1300.19,Electronics,7801.14
2024-05-16,Phone,West,6,505.12,Electronics,3030.7200000000003
2023-05-25,Phone,South,1,830.13,Electronics,830.13
2023-07-20,Tablet,East,7,1268.16,Electronics,8877.12
2024-12-24,Monitor,East,8,1484.7,Electronics,11877.6
2024-04-05,Laptop,North,2,1339.8,Electronics,2679.6
2024-07-11,Laptop,West,8,588.63,Electronics,4709.04
2024-06-30,Headphones,North,9,332.99,Accessories,2996.91
2023-09-10,Laptop,East,6,759.62,Electronics,4557.72
2024-01-25,Tablet,South,5,1125.38,Electronics,5626.900000000001
2024-08-16,Tablet,North,9,764.23,Electronics,6878.07
2023-09-13,Laptop,North,9,750.61,Electronics,6755.49
2024-12-09,Laptop,South,1,1265.43,Electronics,1265.43
2024-03-25,Headphones,North,3,574.04,Accessories,1722.12
2023-01-10,Laptop,South,9,1296.7,Electronics,11670.300000000001
2023-08-30,Headphones,West,2,639.87,Accessories,1279.74
2023-09-08,Headphones,South,4,525.94,Accessories,2103.76
2023-01-05,Laptop,West,4,708.29,Electronics,2833.16
2023-04-29,Phone,South,2,1155.55,Electronics,2311.1
2024-01-09,Phone,East,3,232.7,Electronics,698.0999999999999
2023-03-06,Headphones,East,3,334.81,Accessories,1004.4300000000001
2023-05-26,Laptop,West,1,1429.59,Electronics,1429.59
2023-08-12,Phone,West,6,304.46,Electronics,1826.7599999999998
2023-08-27,Laptop,East,8,873.2,Electronics,6985.6
2023-06-26,Laptop,West,3,890.01,Electronics,2670.0299999999997
2023-10-09,Laptop,South,5,759.96,Electronics,3799.8
2023-03-04,Monitor,South,1,984.88,Electronics,984.88
2023-08-05,Laptop,East,7,383.25,Electronics,2682.75
2024-11-19,Monitor,North,1,851.36,Electronics,851.36
2024-04-05,Headphones,South,9,589.65,Accessories,5306.849999999999
2024-09-01,Phone,West,8,1009.42,Electronics,8075.36
2023-04-15,Phone,North,7,254.77,Electronics,1783.39
2023-04-09,Phone,North,7,877.77,Electronics,6144.389999999999
2024-05-25,Phone,South,5,318.64,Electronics,1593.1999999999998
2024-01-20,Phone,South,5,454.03,Electronics,2270.1499999999996
2024-02-09,Phone,North,5,367.13,Electronics,1835.65
2024-06-01,Phone,North,1,315.11,Electronics,315.11
2024-04-20,Headphones,East,8,1247.28,Accessories,9978.24
2024-12-09,Laptop,West,1,464.28,Electronics,464.28
2024-10-06,Tablet,East,4,1394.33,Electronics,5577.32
2024-03-12,Monitor,South,9,1456.39,Electronics,13107.51
2023-01-23,Tablet,East,9,878.33,Electronics,7904.97
2024-07-18,Tablet,East,5,257.35,Electronics,1286.75
2024-11-07,Laptop,East,4,593.09,Electronics,2372.36
2024-12-14,Laptop,East,3,1206.71,Electronics,3620.13
2024-04-02,Laptop,West,3,582.72,Electronics,1748.16
2023-03-24,Phone,West,5,176.17,Electronics,880.8499999999999
2023-05-25,Headphones,North,1,857.34,Accessories,857.34
2023-03-26,Phone,South,5,1275.43,Electronics,6377.150000000001
2023-03-19,Headphones,East,6,1204.09,Accessories,7224.539999999999
2024-04-01,Headphones,North,7,303.93,Accessories,2127.51
2023-01-01,Tablet,North,9,1025.51,Electronics,9229.59
2023-02-20,Tablet,North,3,369.73,Electronics,1109.19
2024-11-15,Headphones,West,2,366.4,Accessories,732.8
2024-12-17,Headphones,East,3,1317.4,Accessories,3952.2000000000003
2024-03-21,Phone,East,9,412.02,Electronics,3708.18
2024-03-24,Phone,South,7,431.71,Electronics,3021.97
2024-05-02,Tablet,East,9,50.95,Electronics,458.55
2023-02-03,Laptop,East,2,1312.47,Electronics,2624.94
2023-12-14,Headphones,North,5,1199.26,Accessories,5996.3
2023-04-05,Phone,South,4,959.63,Electronics,3838.52
2023-03-13,Tablet,East,2,1137.89,Electronics,2275.78
2024-07-04,Phone,West,9,270.47,Electronics,2434.2300000000005
2023-06-03,Headphones,East,9,714.57,Accessories,6431.13
2023-09-07,Headphones,North,6,559.27,Accessories,3355.62
2024-11-04,Monitor,West,6,185.98,Electronics,1115.8799999999999
2024-03-13,Laptop,North,8,754.89,Electronics,6039.12
2023-04-28,Monitor,East,6,1385.07,Electronics,8310.42
2023-11-02,Tablet,West,1,108.09,Electronics,108.09
2023-09-25,Phone,South,4,472.62,Electronics,1890.48
2023-02-23,Tablet,South,7,350.93,Electronics,2456.51
2023-08-24,Headphones,West,2,395.31,Accessories,790.62
2024-01-24,Monitor,West,9,1367.23,Electronics,12305.07
2024-02-05,Monitor,North,8,728.7,Electronics,5829.6
2024-09-15,Monitor,West,8,726.13,Electronics,5809.04
2023-10-30,Tablet,North,7,1152.83,Electronics,8069.8099999999995
2023-07-26,Headphones,East,4,274.01,Accessories,1096.04
2023-08-17,Phone,North,2,756.53,Electronics,1513.06
2024-07-31,Phone,West,3,673.48,Electronics,2020.44
2023-03-16,Tablet,West,6,915.52,Electronics,5493.12
2024-03-10,Monitor,East,5,1499.36,Electronics,7496.799999999999
2023-04-13,Laptop,West,8,1165.7,Electronics,9325.6
2024-02-26,Tablet,West,6,626.91,Electronics,3761.46
2024-12-04,Tablet,South,6,1249.95,Electronics,7499.700000000001
2023-11-02,Headphones,South,1,297.53,Accessories,297.53
2023-04-08,Phone,East,4,94.17,Electronics,376.68
2023-12-01,Tablet,North,5,346.45,Electronics,1732.25
2024-03-10,Tablet,South,3,543.6,Electronics,1630.8000000000002
2024-03-22,Monitor,North,9,790.34,Electronics,7113.06
2023-11-04,Monitor,West,1,941.94,Electronics,941.94
2023-09-06,Laptop,South,6,1370.38,Electronics,8222.28
2023-06-15,Headphones,East,6,789.29,Accessories,4735.74
2024-04-25,Laptop,East,5,776.85,Electronics,3884.25
2023-12-01,Monitor,East,5,122.85,Electronics,614.25
2024-06-25,Phone,South,5,100.62,Electronics,503.1
2023-04-16,Monitor,North,6,849.18,Electronics,5095.08
2024-07-16,Headphones,West,8,685.36,Accessories,5482.88
2023-03-22,Monitor,North,2,1266.81,Electronics,2533.62
2023-05-13,Headphones,North,6,282.99,Accessories,1697.94
2023-05-18,Headphones,West,1,86.21,Accessories,86.21
2023-07-03,Headphones,West,4,701.11,Accessories,2804.44
2024-02-05,Headphones,South,3,394.34,Accessories,1183.02
2023-11-26,Headphones,South,9,121.94,Accessories,1097.46
2024-05-22,Phone,South,3,1100.67,Electronics,3302.01
2023-03-10,Laptop,South,6,211.81,Electronics,1270.8600000000001
2024-06-29,Tablet,South,1,932.06,Electronics,932.06
2023-02-22,Laptop,West,6,457.52,Electronics,2745.12
2024-03-25,Headphones,North,4,301.57,Accessories,1206.28
2023-07-24,Phone,South,8,600.64,Electronics,4805.12
2023-05-06,Monitor,South,9,1212.1,Electronics,10908.9
2023-02-12,Phone,North,4,618.54,Electronics,2474.16
2023-04-21,Headphones,South,6,1138.62,Accessories,6831.719999999999
2024-10-24,Phone,North,1,231.96,Electronics,231.96
2023-07-02,Phone,North,4,1170.52,Electronics,4682.08
2023-04-05,Headphones,West,7,393.55,Accessories,2754.85
2024-01-09,Phone,East,1,1032.22,Electronics,1032.22
2024-06-03,Tablet,West,8,870.38,Electronics,6963.04
2023-12-26,Tablet,East,6,1397.26,Electronics,8383.56
2024-11-26,Phone,East,5,611.62,Electronics,3058.1
2023-10-08,Monitor,East,9,145.94,Electronics,1313.46
2023-07-14,Headphones,South,2,77.78,Accessories,155.56
2023-07-14,Tablet,West,5,1248.94,Electronics,6244.700000000001
2024-10-28,Monitor,East,6,810.87,Electronics,4865.22
2023-04-03,Phone,North,7,1174.1,Electronics,8218.699999999999
2024-11-02,Monitor,South,5,389.92,Electronics,1949.6000000000001
2023-03-02,Laptop,West,9,550.37,Electronics,4953.33
2024-09-25,Tablet,East,1,93.65,Electronics,93.65
2023-02-20,Phone,North,7,1444.16,Electronics,10109.12
2024-02-07,Headphones,West,7,1018.41,Accessories,7128.87
2023-01-05,Phone,West,4,1403.15,Electronics,5612.6
2024-04-10,Headphones,South,9,434.97,Accessories,3914.7300000000005
2024-08-26,Phone,West,5,936.62,Electronics,4683.1
2024-11-12,Monitor,South,4,1033.82,Electronics,4135.28
2024-06-17,Monitor,East,7,510.45,Electronics,3573.15
2024-02-09,Monitor,South,4,1279.76,Electronics,5119.04
2024-05-27,Laptop,North,3,1423.38,Electronics,4270.14
2024-10-06,Headphones,South,9,1333.04,Accessories,11997.36
2023-08-21,Monitor,North,8,1121.65,Electronics,8973.2
2024-06-07,Laptop,South,1,452.32,Electronics,452.32
2023-12-12,Headphones,West,7,458.34,Accessories,3208.3799999999997
2023-02-15,Phone,East,9,1446.87,Electronics,13021.829999999998
2024-06-29,Laptop,North,8,64.91,Electronics,519.28
2023-03-19,Tablet,South,8,1088.27,Electronics,8706.16
2024-12-30,Laptop,South,6,1074.06,Electronics,6444.36
2023-03-14,Laptop,South,4,952.9,Electronics,3811.6
2023-09-06,Headphones,West,8,1485.66,Accessories,11885.28
2023-02-16,Phone,West,3,502.23,Electronics,1506.69
2023-05-01,Tablet,North,9,542.96,Electronics,4886.64
2023-08-02,Monitor,North,2,164.46,Electronics,328.92
2023-08-27,Monitor,West,2,692.06,Electronics,1384.12
2023-02-25,Laptop,North,7,428.52,Electronics,2999.64
2023-12-16,Headphones,East,4,547.91,Accessories,2191.64
2023-04-17,Headphones,East,8,1260.13,Accessories,10081.04
2023-02-17,Monitor,West,9,1406.45,Electronics,12658.050000000001
2024-07-26,Tablet,North,7,319.31,Electronics,2235.17
2023-12-03,Phone,South,5,590.14,Electronics,2950.7
2023-01-26,Tablet,East,8,1396.51,Electronics,11172.08
2023-09-14,Phone,West,4,139.62,Electronics,558.48
2023-01-08,Monitor,North,2,183.92,Electronics,367.84
2024-09-16,Phone,West,6,286.05,Electronics,1716.3000000000002
2023-09-10,Headphones,South,9,913.06,Accessories,8217.539999999999
2024-11-22,Laptop,East,1,268.18,Electronics,268.18
2024-12-19,Laptop,West,7,1453.71,Electronics,10175.970000000001
2023-10-30,Monitor,West,9,697.74,Electronics,6279.66
2024-09-30,Headphones,West,9,777.2,Accessories,6994.8
2023-02-25,Tablet,South,3,407.65,Electronics,1222.9499999999998
2024-12-26,Headphones,West,5,732.89,Accessories,3664.45
2024-06-09,Laptop,South,8,1009.77,Electronics,8078.16
2024-04-18,Laptop,South,8,1139.21,Electronics,9113.68
2023-01-28,Headphones,South,4,1143.11,Accessories,4572.44
2023-03-19,Headphones,East,1,887.94,Accessories,887.94
2023-08-04,Laptop,East,1,1361.32,Electronics,1361.32
2024-01-21,Tablet,West,4,1235.24,Electronics,4940.96
2023-12-31,Monitor,West,6,1147.72,Electronics,6886.32
2024-10-27,Monitor,East,8,130.63,Electronics,1045.04
2024-06-09,Headphones,North,6,59.97,Accessories,359.82
2024-11-29,Monitor,East,9,358.05,Electronics,3222.4500000000003
2023-11-08,Laptop,South,9,1012.11,Electronics,9108.99
2023-01-07,Laptop,East,2,646.24,Electronics,1292.48
2023-01-03,Headphones,South,1,633.49,Accessories,633.49
2024-09-14,Headphones,West,2,1332.65,Accessories,2665.3
2023-12-29,Headphones,North,5,1348.57,Accessories,6742.849999999999
2024-05-22,Tablet,West,4,1368.3,Electronics,5473.2
2023-10-01,Monitor,South,4,505.12,Electronics,2020.48
2024-05-20,Headphones,South,9,1052.03,Accessories,9468.27
2023-01-15,Phone,South,8,443.87,Electronics,3550.96
2023-07-11,Phone,North,6,326.38,Electronics,1958.28
2024-09-22,Laptop,East,1,317.72,Electronics,317.72
2024-04-29,Monitor,West,2,546.06,Electronics,1092.12
2023-01-28,Headphones,West,6,673.44,Accessories,4040.6400000000003
2024-12-14,Phone,East,2,1254.88,Electronics,2509.76
2023-02-08,Monitor,West,5,223.84,Electronics,1119.2
2023-09-30,Laptop,North,5,1115.64,Electronics,5578.200000000001
2023-08-19,Tablet,West,6,820.61,Electronics,4923.66
2023-03-27,Monitor,South,6,467.52,Electronics,2805.12
2024-04-18,Monitor,East,6,764.59,Electronics,4587.54
2023-05-06,Tablet,North,2,484.92,Electronics,969.84
2024-06-20,Monitor,East,3,914.32,Electronics,2742.96
2023-05-25,Laptop,North,6,679.07,Electronics,4074.42
2024-06-08,Laptop,South,8,288.39,Electronics,2307.12
2023-07-31,Tablet,East,1,219.05,Electronics,219.05
2023-01-25,Headphones,West,1,842.71,Accessories,842.71
2024-08-02,Phone,North,2,1358.5,Electronics,2717.0
2024-01-29,Headphones,East,6,548.74,Accessories,3292.44
2023-03-08,Monitor,West,9,1112.85,Electronics,10015.65
2023-08-21,Phone,East,4,1005.06,Electronics,4020.24
2023-04-19,Tablet,East,3,1400.75,Electronics,4202.25
